model,prediction_window,test_df_control_ratio,NA_removal_threshold,retro_auc,retro_auprc,retro_recall,retro_precision,retro_f1,retro_accuracy,retro_brier,prospective_auc,prospective_auprc,prospective_recall,prospective_precision,prospective_f1,prospective_accuracy,prospective_brier
lgbm-isotonic-bestcv,180,2,80,0.9486996844344545,0.9146741428935214,0.7734101947879926,0.8599878747005084,0.8843015884760559,0.8843015884760559,0.08201160808335914,0.8826694719518698,0.8163937975561792,0.7960044395116537,0.6699047263216887,0.8012578616352202,0.8012578616352202,0.14822436093367153
xgb-isotonic-bestcv,180,2,80,0.9513776912048895,0.9175839223798179,0.7862613303553414,0.859570207866976,0.887693345888741,0.887693345888741,0.08008295251159239,0.888771398409216,0.8224198885593408,0.7933407325194228,0.6806322605218054,0.8070292267850536,0.8070292267850536,0.14211779333990282
lgb-isotonic-iterativeimpute-bestcv,180,2,80,0.9555350292902913,0.9299733395257899,0.7991327274878682,0.8811958145323455,0.8986095386941126,0.8986095386941126,0.07330486407946313,0.8678739247672766,0.7770809254143249,0.8934517203107658,0.5411400914224254,0.7119496855345911,0.7119496855345911,0.21206686663342048
xgb-isotonic-iterativeimpute-bestcv,180,2,80,0.9592563928946725,0.9356924413732076,0.8135807739100388,0.8855322281906011,0.9041417154695166,0.9041417154695167,0.06986746751628589,0.8779043755797294,0.8012694800058957,0.895449500554939,0.5608230223828722,0.7314095449500555,0.7314095449500555,0.19627082359446862
lr_iterimpute,180,2,80,0.9315990304493078,0.9013230199537525,0.6550352244667808,0.9361623102895389,0.8721258519733198,0.8721258519733198,0.105910953853847,0.8023787603119483,0.6654317863146816,0.9187569367369589,0.4382676831850911,0.5803921568627451,0.5803921568627451,0.24672746660810113
lgb-isotonic-knnimpute-bestcv,180,2,80,0.939153,0.903558,0.736565,0.862565,0.875024,0.875024,0.088256,0.871139,0.779436,0.885239,0.565193,0.734739,0.734739,0.201369
xgb-isotonic-knnimpute-bestcv,180,2,80,0.9432270416998139,0.9090021697669293,0.7560945378555455,0.8632484286949652,0.8806134751439665,0.8806134751439665,0.0851939071074034,0.8680914411290451,0.7730190668531999,0.8890122086570478,0.5575664764026173,0.727857935627081,0.727857935627081,0.19905863959672143
classifier_lr_knnimpute,180,2,80,0.9291057010657524,0.8931796119976921,0.6772858763077607,0.9033504763312853,0.8703064865283487,0.8703064865283487,0.10354531442412757,0.837625994547925,0.7349507755535747,0.8996670366259711,0.482327740092824,0.6446910839807621,0.6446910839807621,0.21692727775453807
lr_simpleimpute_median,180,2,80,0.9315549737638731,0.901985873129723,0.6561143906656696,0.9345431735739528,0.8720599984608548,0.8720599984608548,0.10598991818429238,0.7903626627708022,0.6470663776849639,0.9134295227524972,0.43211172949700727,0.5709951905290418,0.5709951905290418,0.2500556348222405
lgb-isotonic-simpleimpute_median,180,2,80,0.9495609924606889,0.918569242700664,0.7797910197501281,0.8694362622382388,0.8892904346348902,0.8892904346348902,0.07981474055000923,0.8840831558473075,0.8166989979343142,0.8055493895671476,0.6554090662813798,0.7940066592674806,0.7940066592674806,0.1533239705354355
xgb-isotonic-simpleimpute_median,180,2,80,0.95169897496144,0.9203564152091023,0.7903199949511703,0.8665252599525133,0.8912332891227615,0.8912332891227615,0.07864439686105767,0.8891744774889413,0.8216482009194594,0.7975582685904551,0.668713940070724,0.8008139104698483,0.8008139104698483,0.142830774901433
lr_simpleimpute_mean,180,2,80,0.9306583259298615,0.9003629002894179,0.6533800043511271,0.9366399276859424,0.8717389318018394,0.8717389318018395,0.10640231655313478,0.7979145381688368,0.6595897976095222,0.9183129855715871,0.4331483614281227,0.5721790603033666,0.5721790603033666,0.2492145741504401
lgb-isotonic-simpleimpute_mean,180,2,80,0.9482610826123787,0.9158039914485876,0.7761729032469036,0.8668000062103561,0.8873969879361558,0.8873969879361558,0.08130530912398919,0.8846167348894618,0.8165450730444512,0.7993340732519423,0.6642685851318945,0.7984461709211986,0.7984461709211986,0.14848996428535616
xgb-isotonic-simpleimpute_mean,180,2,80,0.9508081999239678,0.9188678602734036,0.789689146714663,0.8620365429502322,0.8894962511070263,0.8894962511070263,0.07959929690599958,0.88962291251181,0.823039660057644,0.7924528301886793,0.6779339156855299,0.8053274139844617,0.8053274139844617,0.1396109695342265
